epoch,train_loss,val_acc
1,0.332752,0.967500
2,0.004666,0.975250
3,0.003026,0.976750
4,0.001166,0.977500
5,0.002060,0.977250
6,0.004149,0.977500
7,0.007758,0.973500
8,0.001718,0.975750
9,0.001455,0.980500
10,0.000803,0.980250
11,0.000138,0.982500
12,0.000075,0.983250
13,0.000060,0.983000
14,0.000051,0.983500
15,0.000045,0.983250
16,0.000041,0.982750
17,0.000036,0.983250
18,0.000034,0.983500
19,0.000033,0.983500
20,0.000032,0.983500
test_acc,0.989125
