epoch,train_loss,val_loss,val_acc
1,3.950499,2.991013,0.000000
2,2.844457,2.759915,0.000000
3,2.751624,2.675614,0.000000
4,2.678680,2.533374,0.000000
5,2.537886,2.487775,0.000000
6,2.521780,2.486557,0.000000
7,2.514860,2.472907,0.000000
8,2.510909,2.470071,0.000000
9,2.502999,2.463969,0.000250
10,2.472343,2.411837,0.000000
11,2.373696,2.245489,0.000000
12,2.220879,2.159514,0.000000
13,2.145680,2.104079,0.000000
14,2.125522,2.093075,0.000000
15,2.111662,2.079754,0.000000
test_acc,0.000000
